instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
instance001,base,ERROR,0,,,,,,,,,0.04,23763.0,16561.0,57555.0,20361.0,14505.0,50617.0,14.316374195177376,12.414709256687399,12.054556511163236,0,,,,,,,,,,,,,,,,,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,BASE,BASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance001_base.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance001_base_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance001_base.log
instance001,estructurado,OK,0,3602.601479176,9.752189342845764,222142.33055523504,,TIME_LIMIT,200478.5898688782,1303168.0,43716572.0,0.04,23763.0,16561.0,57555.0,20361.0,14505.0,50617.0,14.316374195177376,12.414709256687399,12.054556511163236,0,,,,,,,,,,,,,,18380000000000.0,565500000000.0,1.0,1.5,0.0,3602.601479176,,,,0.0,0.0,,,,,,,0.030767138193688794,,,,,2980041.0,0.0,1780537441.0,2980041.0,,3.9486569e-07,199030122960050.0,0.0,1.0,0.0,0.0,0.0,,OK,REVISAR,2.16541811823845e-05,1.43829392840189e-13,2.9103830456733704e-11,92524158.1387146,1.43829392840189e-13,5.11080876786225e-09,4.65661287307739e-10,8.94069671630859e-08,4.17232513427734e-07,339165.58523716,3.63433317761744,10359847.1104456,92524158.1387146,1.9073486328125e-06,1.86264514923096e-09,2.16541811823845e-05,1.81557530783941e-13,2.27373675443232e-13,1.43829392840189e-13,3.0,0.0,6.0,0.0,0.0,0.0,0.0,222142.330555235,30.6416030230556,6017.60146691959,92524158.1387146,1.81557530783941e-13,2.27373675443232e-13,1.43829392840189e-13,851.0,303.0,1171.0,0.0,0.0,0.0,0.0,222142.330555235,222142.330555235,,,,,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance001_estructurado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance001_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance001_estructurado.log
instance001,estructurado_matricial,OK,0,3601.310776181,26.732154223655698,222152.42111641247,,TIME_LIMIT,162766.293291988,645692.0,47182977.0,0.04,23763.0,16561.0,57555.0,20361.0,14505.0,50617.0,14.316374195177376,12.414709256687399,12.054556511163236,0,,,,,,,,,,,,,,18380000000000.0,30850000000000.0,1.0,1.0,0.0,3601.310776181,,,,0.0,0.0,,,,,,,1.6784548422198042,,,,,2798513.0,1.0,1780834103.0,2798513.0,,8.20853074e-07,232760991426063.0,0.0,0.0,1.0,0.0,0.0,,OK,REVISAR,4.69502992928028e-05,8.39415428769911e-08,4.656612873077393e-10,92572967.3937293,8.39415428769911e-08,4.4164271022716e-09,4.65661287307739e-10,6.92717730999002e-08,8.34465026855469e-07,340279.349140883,3.6803447189659,10512095.6732081,92572967.3937293,6.18187328570834e-11,1.86264514923096e-09,4.69502992928028e-05,6.18187328570834e-11,2.27373675443232e-13,8.39415428769911e-08,0.0,0.0,2.0,0.0,0.0,0.0,0.0,222152.421116412,30.6416030230555,6017.60146691959,92572967.3937293,6.18187328570834e-11,2.27373675443232e-13,8.39415428769911e-08,849.0,303.0,1170.0,0.0,0.0,0.0,0.0,222152.421116412,222152.421116412,,,,,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance001_estructurado_matricial.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance001_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance001_estructurado_matricial.log
instance001,ruiz,OK,0,3601.395320883,27.65123427866539,222305.22126027406,,TIME_LIMIT,160835.08371589018,576502.0,37441282.0,0.04,23763.0,16561.0,57555.0,20361.0,14505.0,50617.0,14.316374195177376,12.414709256687399,12.054556511163236,0,,,,,,,,,,,,,,18380000000000.0,565500000000.0,1.0,1.477,11.0,3612.395320883,,,,11.0,0.0030543717142673997,,,,,,,0.030767138193688794,,,,,2735883.0,1.0,1780544777.0,2735883.0,,7.31269689e-07,15070143122844.0,0.0,1.0,0.0,0.0,0.0,,OK,REVISAR,9.71811823546886e-06,4.7039041076461e-11,5.820766091346741e-11,97976840.8698675,4.7039041076461e-11,3.38468438157961e-09,2.3283064365387e-10,7.76536762714395e-08,9.53208655118942e-07,394452.270116333,3.49795783332983,7225798.9049721,97976840.8698675,1.9073486328125e-06,1.86264514923096e-09,9.71811823546886e-06,4.7039041076461e-11,2.27373675443232e-13,4.7039041076461e-11,1.0,0.0,3.0,0.0,0.0,0.0,0.0,222305.221260274,25.5665828107047,6017.60146691964,97976840.8698675,4.7039041076461e-11,2.27373675443232e-13,4.7039041076461e-11,771.0,306.0,1159.0,0.0,0.0,0.0,0.0,222305.221260274,222305.221260274,,,,,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance001_ruiz.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance001_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance001_ruiz.log
instance001,ruiz_columnas,OK,0,3604.525440612,35.22250707264593,229806.02592596837,,TIME_LIMIT,148862.58219082758,254904.0,12850133.0,0.04,23763.0,16561.0,57555.0,20151.0,14295.0,50617.0,15.20010099734882,13.682748626290683,12.054556511163236,0,,,,,,,,,,,,,,18380000000000.0,51940000000.0,1.0,1.477,107.0,3711.525440612,,,,107.0,0.029684906310949173,,,,,,,0.002825897714907508,,,,,3687792.0,1.0,1780548574.0,3687792.0,,1.07440995e-06,25741791344136.0,0.0,0.0,1.0,0.0,0.0,,OK,REVISAR,3.814697265625e-06,2.37118311097184e-11,3.7834979593753815e-10,15265713.5665246,2.37118311097184e-11,1.58309956382975e-08,4.65661287307739e-10,5.13801351189614e-07,9.62056219577789e-07,54534.549075748,6.37124364526859,1880632.78692794,15265713.5665246,1.9073486328125e-06,1.16415321826935e-10,3.814697265625e-06,4.17232513427734e-07,3.63797880709171e-12,2.37118311097184e-11,4.0,0.0,68.0,0.0,0.0,0.0,0.0,229806.025925968,436.038991689053,6363.79308453988,15265713.5665246,4.17232513427734e-07,6.82121026329696e-13,2.37118311097184e-11,1894.0,359.0,1205.0,0.0,0.0,0.0,0.0,229806.025925968,229806.025925968,,,,,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance001_ruiz_columnas.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance001_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance001_ruiz_columnas.log
instance002,base,OK,0,3601.430263722,3.937069260781676,1094242.9023965853,,TIME_LIMIT,1051161.8014480441,512131.0,17212789.0,0.04,23763.0,16561.0,57555.0,20305.0,14474.0,50490.0,14.552034675756428,12.601896020771692,12.275215011727912,0,,,,,,,,,,,,,,,,,,0.0,3601.430263722,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1836521.414934,0.983252,1780552319.209623,1836521.414934,1.0,1.92682404e-07,2.7712596560326846e+22,0.001833,0.854816,0.14443,0.000522,0.000232,,BASE,BASE,,,,,,2.23142396942748e-09,4.65661287307739e-10,5.88502734899526e-08,1.18836760520935e-06,549956.822250376,2.66659349288615,16749102.5696787,114246476.481718,7.27595761418343e-12,0.0,6.27338886260986e-06,0.0,2.27373675443232e-13,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1094242.90239659,33.254499644566,8460.61218346894,114246476.481718,0.0,2.27373675443232e-13,0.0,269.0,384.0,1088.0,0.0,0.0,0.0,0.0,1094242.90239659,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance002_base.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance002_base_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance002_base.log
instance002,estructurado,OK,0,3602.076485278,3.671184177093937,1094192.0695886116,,TIME_LIMIT,1054022.2634628578,813160.0,25491748.0,0.04,23763.0,16561.0,57555.0,20303.0,14472.0,50490.0,14.560451121491393,12.613972586196486,12.275215011727912,0,,,,,,,,,,,,,,22530000000000.0,576300000000.0,1.0,1.5,0.0,3602.076485278,0.9998205974918519,0.9998205974918519,0.9998205974918519,0.0,0.0,0.2658850836877389,-50.83280797372572,-4.645477513483787e-05,,,,0.025579227696404794,,,,,2871350.0,1.0,1780556051.0,2871350.0,0.6396020739143609,2.85373213e-07,17369581407931.0,0.0,1.0,0.0,0.0,0.0,6.267756747412535e-10,REVISAR,REVISAR,0.000624340027570724,1.13020703906841e-13,1.6298145055770874e-09,114246476.481718,1.13020703906841e-13,3.01062040525502e-08,4.65661287307739e-10,7.45058059692383e-08,0.000624340027570724,549905.971603623,2.66659349288617,16749034.5540027,114246476.481718,3.11792863091992e-10,0.0,0.000624340027570724,1.13020703906841e-13,2.27373675443232e-13,1.13020703906841e-13,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1094192.06958861,33.2544996445661,8460.61218346894,114246476.481718,1.13020703906841e-13,2.27373675443232e-13,1.13020703906841e-13,269.0,384.0,1088.0,0.0,0.0,0.0,0.0,1094192.06958861,1094192.06958861,-50.832807975355536,4.645477513632732e-05,mejora,2860.4620148136746,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance002_estructurado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance002_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance002_estructurado.log
instance002,estructurado_matricial,OK,0,3603.14182804,4.186009225882152,1094191.780517769,,TIME_LIMIT,1048388.811636451,1283091.0,34581165.0,0.04,23763.0,16561.0,57555.0,20297.0,14466.0,50490.0,14.585700458696293,12.650202282470865,12.275215011727912,0,,,,,,,,,,,,,,22530000000000.0,32420000000000.0,1.0,1.0,0.0,3603.14182804,0.9995249800314047,0.9995249800314047,0.9995249800314047,0.0,0.0,-0.24893996510047645,-51.121878816280514,-4.671894942550193e-05,,,,1.4389702618730582,,,,,2923531.0,1.0,1780837776.0,2923531.0,0.6281860582063266,2.30671457e-07,3771514850395.0,0.0,1.0,0.0,0.0,0.0,1.3609388215156546e-10,OK,REVISAR,3.03983688354492e-06,0.0,9.313225746154785e-10,114246476.481718,0.0,2.25687483313339e-09,2.3283064365387e-10,6.02472573518758e-08,4.7474168241024e-07,549899.245597454,2.66659349288617,16749034.554003,114246476.481718,1.39357853590681e-10,0.0,3.03983688354492e-06,4.44089209850063e-16,2.27373675443232e-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1094191.78051777,33.254499644566,8460.61218346894,114246476.481718,4.44089209850063e-16,2.27373675443232e-13,0.0,269.0,384.0,1088.0,0.0,0.0,0.0,0.0,1094191.78051777,1094191.78051777,-51.12187881534919,4.671894942465082e-05,mejora,-2772.9898115930846,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance002_estructurado_matricial.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance002_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance002_estructurado_matricial.log
instance002,ruiz,OK,0,57.968396463,0.0,58575922.93970585,,OPTIMAL,58575922.93970585,4670.0,434721.0,0.04,23763.0,16561.0,57555.0,20303.0,14472.0,50490.0,14.560451121491393,12.613972586196486,12.275215011727912,0,,,,,,,,,,,,,,22530000000000.0,576300000000.0,1.0,1.479,11.0,68.968396463,62.12747778905212,62.12747778905212,52.218558766319674,11.0,0.18975856968928004,3.937069260781676,57481680.03730927,52.53100560343067,,,,0.025579227696404794,,,,,54284.0,1.0,1780563606.0,54284.0,33.83172601381622,1.9718373e-08,685547373079.0,0.0,1.0,0.0,0.0,0.0,2.4737753158086408e-11,OK,REVISAR,9.5367431640625e-07,3.58570880058382e-13,5.21540641784668e-08,44589930.9533052,3.58570880058382e-13,3.70946733326583e-09,4.54747350886464e-13,1.19325704872608e-07,9.5367431640625e-07,250154.763947411,3.25295065482362,8385826.16828969,44589930.9533052,4.12170297892089e-12,4.65661287307739e-10,9.5367431640625e-07,8.79992967384169e-10,3.96146901948669e-08,3.58570880058382e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58575922.9397059,986.937458302178,27701.8220190224,44589930.9533052,8.79992967384169e-10,3.96146901948669e-08,3.58570880058382e-13,1361.0,347.0,980.0,0.0,0.0,0.0,0.0,58575922.9397059,58575922.9397059,57481680.03730932,52.53100560343072,empeora,57524761.1382578,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance002_ruiz.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance002_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance002_ruiz.log
instance002,ruiz_columnas,OK,0,6.326899983,0.0,1095645.982373752,,OPTIMAL,1095645.982373752,0.0,21532.0,0.04,23763.0,16561.0,57555.0,20184.0,14353.0,50490.0,15.061229642721878,13.33252822897168,12.275215011727912,0,,,,,,,,,,,,,,22530000000000.0,40090000000.0,1.0,1.479,103.0,109.326899983,569.2250981363427,569.2250981363427,32.94184930041931,103.0,16.27969468092665,3.937069260781676,1403.079977166606,0.0012822381338673645,,,,0.001779405237461163,,,,,7054.0,,,7054.0,260.3517741613269,,4160060.0,0.0,1.0,0.0,0.0,0.0,1.5011440703306424e-16,OK,REVISAR,2.11410224437714e-05,0.0,1.862645149230957e-09,18992151.4946731,0.0,1.05292493647455e-08,1.62981450557709e-09,2.39205546677113e-07,9.79751348495483e-07,91611.8610879071,7.47669032553989,2935127.97183191,18992151.4946731,9.74083421919128e-11,5.82076609134674e-11,2.11410224437714e-05,5.96123512198285e-16,3.63797880709171e-12,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1095645.98237375,1022.59941698936,8782.0985698711,18992151.4946731,0.0,3.63797880709171e-12,0.0,1196.0,486.0,1115.0,0.0,0.0,0.0,0.0,1095645.98237375,1095645.98237375,1403.0799771647435,0.0012822381338656623,empeora,44484.1809257078,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance002_ruiz_columnas.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance002_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance002_ruiz_columnas.log
instance003,base,OK,0,3604.446286435,30.55373990439812,90980.59767728177,,TIME_LIMIT,63182.62249949819,1774487.0,46517749.0,0.04,23763.0,16561.0,57555.0,20381.0,14498.0,50646.0,14.232209737827715,12.456977235674174,12.00416992442012,0,,,,,,,,,,,,,,,,,,0.0,3604.446286435,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,2966949.930075,0.999999,1780563796.938079,2966949.930075,1.0,1.052125082e-06,22023065607376.805,0.009326,0.093824,0.905265,0.000911,0.0,,BASE,BASE,,,,,,1.6787779357498e-09,2.3283064365387e-10,5.02914190292358e-08,8.49366188049316e-07,589913.355097894,6.77935194243079,11395834.9587704,148644165.438989,1.45675352183735e-11,0.0,1.491978764534e-06,4.76837158203125e-07,4.54747350886464e-13,1.51121784763633e-13,0.0,0.0,2.0,0.0,0.0,0.0,0.0,90980.5976772818,43.8010731399295,13788.1189650824,148644165.438989,4.76837158203125e-07,4.54747350886464e-13,1.51121784763633e-13,754.0,410.0,1070.0,0.0,0.0,0.0,0.0,90980.5976772818,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance003_base.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance003_base_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance003_base.log
instance003,estructurado,OK,0,3602.348229793,23.86827957237759,90981.04211345078,,TIME_LIMIT,69265.43262394973,1149801.0,38068105.0,0.04,23763.0,16561.0,57555.0,20381.0,14498.0,50646.0,14.232209737827715,12.456977235674174,12.00416992442012,0,,,,,,,,,,,,,,37980000000000.0,484900000000.0,1.0,1.5,0.0,3602.348229793,1.0005824136113906,1.0005824136113906,1.0005824136113906,0.0,0.0,6.685460332020533,0.4444361690111691,4.8849554779540284e-06,,,,0.012767245918904687,,,,,2900048.0,1.0,1780567444.0,2900048.0,1.0230692492244957,9.87031193e-07,133772305862977.0,0.0,1.0,0.0,0.0,0.0,6.074190952696834,OK,REVISAR,3.10083851218224e-06,1.46549439250521e-14,2.9103830456733704e-11,148644165.438989,1.46549439250521e-14,1.92494265823337e-09,3.63797880709171e-12,4.84287738800049e-08,1.27218663692474e-06,589920.289543382,6.77989627973728,11395612.2557078,148644165.438989,2.38418579101562e-07,0.0,3.10083851218224e-06,1.46549439250521e-14,2.27373675443232e-13,1.46549439250521e-14,0.0,0.0,3.0,0.0,0.0,0.0,0.0,90981.0421134508,43.798057679316,13788.1189650824,148644165.438989,1.46549439250521e-14,2.27373675443232e-13,1.46549439250521e-14,752.0,410.0,1070.0,0.0,0.0,0.0,0.0,90981.0421134508,90981.0421134508,0.44443616904027294,4.884955478273919e-06,empeora,6082.810124451542,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance003_estructurado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance003_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance003_estructurado.log
instance003,estructurado_matricial,OK,0,3604.637803746,38.34000578190775,90981.99311382021,,TIME_LIMIT,56099.49169348659,1439917.0,35916303.0,0.04,23763.0,16561.0,57555.0,20381.0,14498.0,50646.0,14.232209737827715,12.456977235674174,12.00416992442012,0,,,,,,,,,,,,,,37980000000000.0,28180000000000.0,1.0,1.001,0.0,3604.637803746,0.999946869194236,0.999946869194236,0.999946869194236,0.0,0.0,-7.786265877509628,1.3954365384415723,1.5337737650299244e-05,,,,0.741969457609268,,,,,2912008.0,1.0,1780841462.0,2912008.0,1.018867369208807,1.177943041e-06,188463452851611.0,0.0,1.0,0.0,0.0,0.0,8.557548536225749,OK,REVISAR,1.3057142496109e-06,0.0,1.4551915228366852e-11,148648452.828383,0.0,1.66505694229554e-09,1.13686837721616e-13,4.52902168035517e-08,1.3057142496109e-06,589913.0253622,6.77925306565955,11395875.0315863,148648452.828383,1.13686837721616e-13,0.0,1.3057142496109e-06,3.57627868652344e-07,2.27373675443232e-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,90981.9931138202,43.798057679316,13788.1189650824,148648452.828383,3.57627868652344e-07,2.27373675443232e-13,0.0,754.0,410.0,1069.0,0.0,0.0,0.0,0.0,90981.9931138202,90981.9931138202,1.3954365384270204,1.5337737650139297e-05,empeora,-7083.130806011599,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance003_estructurado_matricial.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance003_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance003_estructurado_matricial.log
instance003,ruiz,OK,0,800.412618152,0.0,90969.94531782682,,OPTIMAL,90969.94531782682,79795.0,7130553.0,0.04,23763.0,16561.0,57555.0,20381.0,14498.0,50646.0,14.232209737827715,12.456977235674174,12.00416992442012,0,,,,,,,,,,,,,,37980000000000.0,484900000000.0,1.0,1.481,11.0,811.412618152,4.503235212304596,4.503235212304596,4.442186633286725,11.0,0.013742911781422062,30.55373990439812,-10.652359454950783,-0.00011708385883258186,,,,0.012767245918904687,,,,,715530.0,1.0,1780574828.0,715530.0,4.146506687455453,4.02028422e-07,4225490210044.0,0.0,1.0,0.0,0.0,0.0,0.19186657685970102,OK,REVISAR,4.3502077460289e-06,0.0,1.4551915228366852e-11,148644165.438989,0.0,2.98484064575581e-09,2.3283064365387e-10,9.31322574615479e-08,7.41332769393921e-07,590023.918570809,6.77994693955674,11395591.731504,148644165.438989,4.76837158203125e-07,0.0,4.3502077460289e-06,0.0,2.27373675443232e-13,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,90969.9453178268,43.7995654096229,13788.1189650824,148644165.438989,0.0,2.27373675443232e-13,0.0,754.0,410.0,1070.0,0.0,0.0,0.0,0.0,90969.9453178268,90969.9453178268,-10.652359454965335,0.00011708385883274181,mejora,27787.322818328626,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance003_ruiz.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance003_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance003_ruiz.log
instance003,ruiz_columnas,OK,0,3602.129596129,31.92469130069004,90963.14117400815,,TIME_LIMIT,61923.43915679514,504950.0,25114363.0,0.04,23763.0,16561.0,57555.0,20153.0,14270.0,50646.0,15.191684551613854,13.833705694100598,12.00416992442012,0,,,,,,,,,,,,,,37980000000000.0,15020000000.0,1.0,1.481,109.0,3711.129596129,1.0006431446299127,1.0006431446299127,0.9712531435697423,109.0,0.030259877411722216,-1.3709513962919182,-17.456503273613635,-0.00019187061548588393,,,,0.0003954713006845708,,,,,2825676.0,1.0,1780575834.0,2825676.0,1.0499965070570725,1.20101522e-06,243785927578047.0,0.0,0.0,1.0,0.0,0.0,11.069572779930734,OK,REVISAR,6.6789798438549e-06,0.0,1.6007106751203537e-10,30955331.8344967,0.0,1.25043737280025e-08,1.86264514923096e-09,3.56384553015234e-07,2.60770320892334e-07,135136.982027149,12.2821431165212,3235819.40412637,30955331.8344967,2.18278728425503e-11,5.82076609134674e-11,6.6789798438549e-06,0.0,3.63797880709171e-12,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,90963.141174008,1289.99129980343,13804.8003108804,30955331.8344967,0.0,6.82121026329696e-13,0.0,1708.0,464.0,1114.0,0.0,0.0,0.0,0.0,90963.141174008,90963.141174008,-17.456503273773706,0.00019187061548764332,mejora,-1259.1833427030506,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance003_ruiz_columnas.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance003_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance003_ruiz_columnas.log
instance004,base,OK,0,479.247895205,0.099993972334092,-2603557.7751160115,,OPTIMAL,-2606161.175957363,130822.0,5332947.0,0.04,23763.0,16561.0,57555.0,20326.0,14486.0,50540.0,14.463661995539283,12.529436628222934,12.188341586308749,0,,,,,,,,,,,,,,,,,,0.0,479.247895205,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,631576.502156,1.003534,1780579448.900651,631576.502156,1.0,5.3268464e-08,1.597647071707476e+18,0.002206,0.832185,0.166138,0.001617,6e-05,,BASE,BASE,,,,,,1.97713530923403e-09,2.19557705349855e-13,6.96256756782551e-08,6.4261257648468e-07,283110.065585204,39.0613721477881,8573900.66716105,167381015.802371,3.71460711840348e-11,0.0,1.4379620552063e-06,1.32454766167535e-08,2.27373675443232e-13,7.83756012784953e-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2603557.77511601,111.904945015963,16788.5422608431,167381015.802371,1.32454766167535e-08,2.27373675443232e-13,7.83756012784953e-12,2626.0,455.0,1063.0,0.0,0.0,0.0,0.0,-2603557.77511601,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance004_base.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/resultados/instance004_base_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute-gap0001/logs/instance004_base.log
