instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
caso11c.txt,base,ERROR,0,1.27071411,0.993591881389466,-349253149.1450694,,OPTIMAL,-352723300.0804719,1.0,0.0,0.13,14400.0,10800.0,35590.0,10409.0,8530.0,27927.0,27.71527777777778,21.01851851851852,21.531329025007025,4,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs | max constraint violation (9.9596e-06) exceeds tolerance,0.002,2000000000.0,0.005,3000.0,5.0,3000000000.0,1.0,10000000000.0,,,,,,,,,0.0,1.27071411,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,97376679.076054,,,0.85646,,,,0.85646,1.0,0.452165832254009,,,,,,,,BASE,BASE,,,,,,3.764219691861e-09,1.00894848031883e-11,1.02464109659195e-07,2.12341547012329e-07,402719.317446261,2.79727179760824,13904740.2116236,272882912.33303,5.52802248421358e-11,0.0,9.95956361293793e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-349253149.145069,2419.43386997951,0.0,272882912.33303,0.0,0.0,0.0,1043.0,0.0,1024.0,0.0,0.0,0.0,0.0,-349508033.481688,,,,,,BASE,0.0,0,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_base.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_base_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso11c_base.log
caso11c.txt,estructurado,ERROR,0,0.903206744,0.993591881389415,-349253149.1450694,,OPTIMAL,-352723300.0804717,1.0,0.0,0.14,14400.0,10800.0,35590.0,10409.0,8530.0,27925.0,27.71527777777778,21.01851851851852,21.536948581062095,1,Model contains large bounds,2e-05,40000.0,0.005,3000.0,0.4,50000.0,1.0,10000000000.0,0.0019999999999999996,1.0,0.00020833333333333335,1.0,1965000000000.0,3009000000.0,0.0004659,1.0,0.059526274,0.962733018,1.4068917426063858,1.4068917426063858,1.3199029079108617,0.059526274,0.06590547999716884,5.0959236830294685e-14,0.0,0.0,,,0.0019999999999999996,0.0015312977099236642,714259.0,,0.007335010875059141,1.0,,,,1.0,0.85646,0.413786091145384,,,,,,,,REVISAR,REVISAR,0.000199366360902786,0.0,4.172325134277344e-07,273006978.968301,0.0,2.23967988113995e-08,1.49011611938477e-08,2.38419743254781e-07,0.000199366360902786,411260.984400617,2.76889901932214,13904740.2116234,273006978.968301,1.45519152283669e-11,0.0,0.000199366360902786,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-349253149.145069,2419.43386997951,0.0,273006978.968301,0.0,0.0,0.0,1040.0,0.0,1026.0,0.0,0.0,0.0,0.0,-349539873.623598,-349253149.145069,4.172325134277344e-07,1.1946420939913368e-15,igual,1.7881393432617188e-07,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_estructurado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_estructurado_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso11c_estructurado.log
caso11c.txt,estructurado_pisolocal_1em1,ERROR,0,0.968518536,0.993591881389175,-349253149.14506954,,OPTIMAL,-352723300.080471,1.0,0.0,0.14,14400.0,10800.0,35590.0,10409.0,8530.0,27925.0,27.71527777777778,21.01851851851852,21.536948581062095,1,Model contains large bounds,2e-06,300000.0,0.005,3000.0,0.0009,500000.0,1.0,10000000000.0,0.15,1.0,0.9259259259259259,1.0,1965000000000.0,275000000000.0,0.0004659,1.0,0.058859897,1.027378433,1.31201836905267,1.31201836905267,1.2368510659596452,0.058859897,0.060773123912622774,2.9098945475425353e-13,-1.1920928955078125e-07,-3.4132631256895334e-16,,,0.15,0.13994910941475827,7229373.0,,0.07424131803009681,1.0,,,,1.0,0.85646,0.41321713767685,,,,,,,,OK,REVISAR,5.31524419784546e-05,0.0,4.76837158203125e-07,273006978.968348,0.0,1.2745559958034e-08,1.86264514923096e-08,2.49036820605398e-07,5.31524419784546e-05,402562.130894361,2.74034701061409,13884978.1380842,273006978.968348,2.18278728425503e-11,0.0,5.31524419784546e-05,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-349253149.14507,2419.43386997951,0.0,273006978.968348,0.0,0.0,0.0,1042.0,0.0,1026.0,0.0,0.0,0.0,0.0,-349502713.039688,-349253149.14507,-5.960464477539062e-07,1.7066315628447667e-15,igual,8.940696716308594e-07,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_estructurado_pisolocal_1em1.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_estructurado_pisolocal_1em1_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso11c_estructurado_pisolocal_1em1.log
caso11c.txt,estructurado_pisolocal_1em2,ERROR,0,0.976936655,0.993591881389175,-349253149.14506954,,OPTIMAL,-352723300.080471,1.0,0.0,0.14,14400.0,10800.0,35590.0,10409.0,8530.0,27925.0,27.71527777777778,21.01851851851852,21.536948581062095,1,Model contains large bounds,2e-06,300000.0,0.005,3000.0,0.0009,500000.0,1.0,10000000000.0,0.15,1.0,0.9259259259259259,1.0,1965000000000.0,275000000000.0,0.0004659,1.0,0.057341885,1.03427854,1.3007129003671174,1.3007129003671174,1.2285995124678888,0.057341885,0.0586956019169943,2.9098945475425353e-13,-1.1920928955078125e-07,-3.4132631256895334e-16,,,0.15,0.13994910941475827,7229387.0,,0.07424146180168703,1.0,,,,1.0,0.85646,0.411271022055602,,,,,,,,OK,REVISAR,4.03262674808502e-05,0.0,4.76837158203125e-07,273006978.968348,0.0,1.20134340947009e-08,1.77416950464242e-08,2.5331974029541e-07,4.03262674808502e-05,402562.130894363,2.74034701061409,13884978.1380842,273006978.968348,2.18278728425503e-11,0.0,4.03262674808502e-05,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-349253149.14507,2419.43386997951,0.0,273006978.968348,0.0,0.0,0.0,1042.0,0.0,1025.0,0.0,0.0,0.0,0.0,-349502713.039689,-349253149.14507,-5.960464477539062e-07,1.7066315628447667e-15,igual,8.940696716308594e-07,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_estructurado_pisolocal_1em2.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_estructurado_pisolocal_1em2_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso11c_estructurado_pisolocal_1em2.log
caso11c.txt,estructurado_pisolocal_1em3,ERROR,0,0.926142104,0.993591881390421,-349253149.14506954,,OPTIMAL,-352723300.08047533,1.0,0.0,0.15,14400.0,10800.0,35590.0,10413.0,8530.0,28045.0,27.6875,21.01851851851852,21.199775217757796,2,Model contains large bounds | Model contains large matrix coefficient range,1e-07,5000000.0,0.005,3000.0,0.02,10000000.0,1.0,10000000000.0,50.0,1.0,0.8333333333333334,1.0,1965000000000.0,90960000000000.0,0.0004659,1.0,0.059833675,0.985975779,1.3720509028925436,1.3720509028925436,1.2887883628224501,0.059833675,0.06460528545412077,-9.550138457825597e-13,-1.1920928955078125e-07,-3.4132631256895334e-16,,,50.0,46.29007633587786,1789510.0,,0.018377192742446483,1.0,,,,1.0,0.85646,0.407350361193315,,,,,,,,OK,REVISAR,8.73580574989319e-06,0.0,4.76837158203125e-07,272882912.333004,0.0,1.03664549504223e-08,2.23517417907715e-08,2.85464338958264e-07,8.73580574989319e-06,388678.179315464,2.79547192626569,13884978.1380847,272882912.333004,2.91038304567337e-11,0.0,8.73580574989319e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-349253149.14507,2419.43386997951,0.0,272882912.333004,0.0,0.0,0.0,1037.0,0.0,1023.0,0.0,0.0,0.0,0.0,-349471992.230799,-349253149.14507,-5.960464477539062e-07,1.7066315628447667e-15,igual,-3.4570693969726562e-06,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_estructurado_pisolocal_1em3.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_estructurado_pisolocal_1em3_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso11c_estructurado_pisolocal_1em3.log
caso11c.txt,estructurado_pisolocal_1em4,ERROR,0,1.989294172,0.34843805280337,-348194155.3875997,,OPTIMAL,-349407396.3226074,1.0,10716.0,0.14,14400.0,10800.0,35590.0,10185.0,8423.0,27235.0,29.270833333333332,22.00925925925926,23.475695420061815,2,Model contains large bounds | Model contains large matrix coefficient range,1e-07,5000000.0,0.005,3000.0,0.001,10000000.0,1.0,10000000000.0,50.0,1.0,16.666666666666668,1.0,1965000000000.0,90960000000000.0,0.0004659,1.0,0.057729999,2.047024171,0.6387763699737014,0.6387763699737014,0.6207616539179595,0.057729999,0.029020342899793102,0.645153828586096,1058993.7574697137,0.0030321666678224824,,,50.0,46.29007633587786,631486.0,,0.006484981886749199,3.0,,,,3.0,0.28548666666666667,0.175213181489293,,,,,,,,OK,REVISAR,6.67031854391098e-05,0.0,2.980232238769531e-07,203830211.05832,0.0,1.96081417541682e-08,9.31322574615479e-09,3.13017517328264e-07,6.67031854391098e-05,242396.190123548,2.41895886488355,10337844.9469824,203830211.05832,2.91038304567337e-11,0.0,6.67031854391098e-05,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,-348194155.3876,1697.36678087859,0.0,203830211.05832,0.0,0.0,0.0,1416.0,0.0,995.0,0.0,0.0,0.0,0.0,-349020584.920281,-348194155.3876,1058993.7574694157,0.0030321666678216294,empeora,3315903.7578644753,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_estructurado_pisolocal_1em4.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso11c_estructurado_pisolocal_1em4_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso11c_estructurado_pisolocal_1em4.log
caso20d.txt,base,ERROR,0,2.021946272,0.910995546010045,-251730347.17625654,,OPTIMAL,-254023599.42698786,1.0,10582.0,0.19,14400.0,10800.0,35590.0,11904.0,9163.0,31849.0,17.333333333333332,15.157407407407407,10.51137960101152,4,Model contains large bounds | Model contains large matrix coefficients | Model contains large rhs | max constraint violation (1.3025e-06) exceeds tolerance,0.003,2000000000.0,0.003,2000.0,5.0,7000000000.0,1.0,10000000000.0,,,,,,,,,0.0,2.021946272,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,32183047.58061,,,2.317174,,,,2.317174,1.0,0.203277733789526,,,,,,,,BASE,BASE,,,,,,3.14427031785661e-09,1.45519152283669e-11,9.40682366490365e-08,2.49594449996948e-07,215635.322346077,4.62411202328103,12403500.8640162,21997495.2435326,7.27595761418343e-12,0.0,1.30245462059975e-06,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-251730347.176257,1883.41397954262,0.0,21997495.2435326,0.0,0.0,0.0,1534.0,0.0,1072.0,0.0,0.0,0.0,0.0,-252290860.059902,,,,,,BASE,0.0,0,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_base.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_base_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso20d_base.log
caso20d.txt,estructurado,ERROR,0,2.141695605,0.910995546010188,-251730347.17625612,,OPTIMAL,-254023599.4269878,1.0,11122.0,0.2,14400.0,10800.0,35590.0,11904.0,9163.0,31849.0,17.333333333333332,15.157407407407407,10.51137960101152,1,Model contains large bounds,1e-05,40000.0,0.003,2000.0,3.0,80000.0,1.0,10000000000.0,0.005999999999999999,1.0,1.904761904761905e-05,1.0,2692000000000.0,6928000000.0,0.0002368,1.0,0.055071103,2.1967667079999997,0.9440866700569245,0.9440866700569245,0.9204192072998224,0.055071103,0.025713786250217387,-1.4299672557172016e-13,4.172325134277344e-07,1.6574581416502657e-15,,,0.005999999999999999,0.002573551263001486,3118648.0,,0.09690343937094875,3.0,,,,3.0,0.7723913333333333,0.204789261678105,,,,,,,,REVISAR,REVISAR,0.000142483040690422,0.0,1.1920928955078125e-07,21997495.2435304,0.0,2.99963110859419e-08,1.86264514923096e-08,3.57276294380429e-07,0.000142483040690422,215635.32234607,4.62411202328103,12403500.8640144,21997495.2435304,2.18278728425503e-11,0.0,0.000142483040690422,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,-251730347.176256,1883.41397954262,0.0,21997495.2435304,0.0,0.0,0.0,1534.0,0.0,1099.0,0.0,0.0,0.0,0.0,-252290860.059902,-251730347.176256,5.364418029785156e-07,2.1310176106931986e-15,igual,5.960464477539063e-08,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_estructurado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_estructurado_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso20d_estructurado.log
caso20d.txt,estructurado_pisolocal_1em1,ERROR,0,2.520898158,0.092164401809936,-253789677.21029764,,OPTIMAL,-254023580.94815388,1.0,12181.0,0.19,14400.0,10800.0,35590.0,11904.0,9163.0,31849.0,17.333333333333332,15.157407407407407,10.51137960101152,1,Model contains large bounds,1e-06,200000.0,0.003,2000.0,0.0005,700000.0,1.0,10000000000.0,0.30000000000000004,1.0,1.0,1.0,2692000000000.0,553600000000.0,0.0002368,1.0,0.057764161,2.578662319,0.8020737631083628,0.8020737631083628,0.7841066498323467,0.057764161,0.022914119246224624,0.8188311442001089,-2059330.0340411067,-0.00818069834305359,,,0.30000000000000004,0.20564635958395244,516236.0,,0.016040618860192334,4.0,,,,4.0,0.5792935,0.863052033102272,,,,,,,,OK,REVISAR,1.06333754956722e-06,0.0,3.5762786865234375e-07,780767220.717116,0.0,1.40085301002951e-08,2.05356627702706e-08,3.60426492989063e-07,2.7194619178772e-07,1319505.86488166,6.25503698102707,54741235.192721,780767220.717116,9.5367431640625e-07,0.0,1.06333754956722e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-253789677.210298,1032.25573878778,0.0,780767220.717116,0.0,0.0,0.0,971.0,0.0,1033.0,0.0,0.0,0.0,0.0,-254213840.285937,-253789677.210298,-2059330.0340414643,0.00818069834305501,mejora,18.478833973407745,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_estructurado_pisolocal_1em1.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_estructurado_pisolocal_1em1_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso20d_estructurado_pisolocal_1em1.log
caso20d.txt,estructurado_pisolocal_1em2,ERROR,0,2.622092827,0.092164401809936,-253789677.21029764,,OPTIMAL,-254023580.94815388,1.0,12210.0,0.19,14400.0,10800.0,35590.0,11904.0,9163.0,31849.0,17.333333333333332,15.157407407407407,10.51137960101152,1,Model contains large bounds,1e-06,200000.0,0.003,2000.0,0.0005,700000.0,1.0,10000000000.0,0.30000000000000004,1.0,1.0,1.0,2692000000000.0,553600000000.0,0.0002368,1.0,0.057791387,2.679884214,0.7711192567935735,0.7711192567935735,0.7544901609693202,0.057791387,0.02204017584919773,0.8188311442001089,-2059330.0340411067,-0.00818069834305359,,,0.30000000000000004,0.20564635958395244,516236.0,,0.016040618860192334,4.0,,,,4.0,0.5792935,0.869869218328523,,,,,,,,OK,REVISAR,1.06357038021088e-06,0.0,3.5762786865234375e-07,780767220.717116,0.0,1.38984243425156e-08,1.86264514923096e-08,3.60426492989063e-07,3.01748514175415e-07,1319505.86488166,6.25503698102685,54741235.192721,780767220.717116,9.5367431640625e-07,0.0,1.06357038021088e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-253789677.210298,1032.25573878778,0.0,780767220.717116,0.0,0.0,0.0,971.0,0.0,1033.0,0.0,0.0,0.0,0.0,-254213840.285937,-253789677.210298,-2059330.0340414643,0.00818069834305501,mejora,18.478833973407745,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_estructurado_pisolocal_1em2.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_estructurado_pisolocal_1em2_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso20d_estructurado_pisolocal_1em2.log
caso20d.txt,estructurado_pisolocal_1em3,ERROR,0,1.831061355,0.910995546010116,-251730347.17625648,,OPTIMAL,-254023599.42698798,1.0,10626.0,0.19,14400.0,10800.0,35590.0,11904.0,9163.0,31849.0,17.333333333333332,15.157407407407407,10.51137960101152,2,Model contains large bounds | Model contains large matrix coefficient range,7e-08,3000000.0,0.003,2000.0,0.01,10000000.0,1.0,10000000000.0,64.28571428571428,1.0,0.7142857142857143,1.0,2692000000000.0,195800000000000.0,0.0002368,1.0,0.057910906,1.888972261,1.1042482364005766,1.1042482364005766,1.0703948987210672,0.057910906,0.03162696096548878,-7.105427357601002e-14,5.960464477539063e-08,2.3677973452146654e-16,,,64.28571428571428,72.73402674591382,567345.0,,0.017628690961567616,2.0,,,,2.0,1.158587,0.217742273008125,,,,,,,,REVISAR,REVISAR,0.000236053019762039,0.0,4.76837158203125e-07,21997495.2435325,0.0,5.78062111217086e-08,1.30385160446167e-08,3.01324762403966e-07,0.000236053019762039,213775.096501048,4.62411202328097,12362965.3284818,21997495.2435325,1.45519152283669e-11,0.0,0.000236053019762039,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,-251730347.176256,1883.41397954262,0.0,21997495.2435325,0.0,0.0,0.0,1534.0,0.0,1088.0,0.0,0.0,0.0,0.0,-252290916.278087,-251730347.176256,5.364418029785156e-07,2.1310176106931986e-15,igual,-1.1920928955078125e-07,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_estructurado_pisolocal_1em3.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_estructurado_pisolocal_1em3_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso20d_estructurado_pisolocal_1em3.log
caso20d.txt,estructurado_pisolocal_1em4,ERROR,0,1.818580199,0.91085629675243,-251730731.81204975,,OPTIMAL,-254023637.03362077,1.0,10239.0,0.2,14400.0,10800.0,35590.0,11897.0,9160.0,31849.0,17.381944444444443,15.185185185185185,10.51137960101152,2,Model contains large bounds | Model contains large matrix coefficient range,7e-08,3000000.0,0.003,2000.0,0.01,10000000.0,1.0,10000000000.0,64.28571428571428,1.0,0.7142857142857143,1.0,2692000000000.0,195800000000000.0,0.0002368,1.0,0.061112486,1.879692685,1.1118268378330673,1.1118268378330673,1.0756791725238852,0.061112486,0.033604504235559426,0.00013924925761499285,-384.6357932090759,-1.5279675157312745e-06,,,64.28571428571428,72.73402674591382,1161946.0,,0.03610428742304884,2.0,,,,2.0,1.158587,0.213441224820107,,,,,,,,OK,REVISAR,9.22605395317078e-05,0.0,2.682209014892578e-07,92640974.1494426,0.0,2.31742838614949e-08,2.04890966415405e-08,4.06564213335515e-07,9.22605395317078e-05,221642.597176305,4.59475908710183,12400241.7663059,92640974.1494426,1.45519152283669e-11,0.0,9.22605395317078e-05,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,-251730731.81205,1883.7835662733,0.0,92640974.1494426,0.0,0.0,0.0,1536.0,0.0,1096.0,0.0,0.0,0.0,0.0,-252279653.47339,-251730731.81205,-384.63579347729683,1.5279675167967833e-06,mejora,-37.60663291811943,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_estructurado_pisolocal_1em4.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20d_estructurado_pisolocal_1em4_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso20d_estructurado_pisolocal_1em4.log
caso20f.txt,base,ERROR,0,2.56853624,0.095311141415576,-261315135.66646296,,OPTIMAL,-261564198.10495833,1.0,11403.0,0.18,14400.0,10800.0,35590.0,11904.0,9163.0,31849.0,17.333333333333332,15.157407407407407,10.51137960101152,3,Model contains large bounds | Model contains large matrix coefficients | Model contains large rhs,0.003,2000000000.0,0.005,2000.0,5.0,7000000000.0,1.0,10000000000.0,,,,,,,,,0.0,2.56853624,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,56674456.295359,,,3.640973,,,,3.640973,1.0,0.871485752784053,,,,,,,,BASE,BASE,,,,,,2.54246215537397e-09,1.83532078423807e-12,8.19563865661621e-08,2.79396772384644e-07,1086067.72349227,6.57706975762921,54065959.844933,780153252.689257,9.5367431640625e-07,0.0,5.00120222568512e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-261315135.666463,1212.24447662869,0.0,780153252.689257,0.0,0.0,0.0,982.0,0.0,1030.0,0.0,0.0,0.0,0.0,-261471433.519078,,,,,,BASE,0.0,0,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20f_base.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20f_base_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso20f_base.log
caso20f.txt,estructurado,ERROR,0,1.977106599,0.494186498077623,-260277966.63457465,,OPTIMAL,-261564225.2031537,1.0,10842.0,0.19,14400.0,10800.0,35590.0,11904.0,9163.0,31849.0,17.333333333333332,15.157407407407407,10.51137960101152,1,Model contains large bounds,1e-05,40000.0,0.005,2000.0,3.0,80000.0,1.0,10000000000.0,0.005999999999999999,1.0,1.904761904761905e-05,1.0,2692000000000.0,6928000000.0,0.0002368,1.0,0.05538532,2.032491919,1.2991389747518616,1.2991389747518616,1.2637374918881534,0.05538532,0.028013320085023902,-0.398875356662047,1037169.0318883061,0.003969035430125741,,,0.005999999999999999,0.002573551263001486,4453850.0,,0.07858655011684197,2.0,,,,2.0,1.8204865,0.211903139053656,,,,,,,,REVISAR,REVISAR,0.000108223408460617,0.0,3.5762786865234375e-07,21997495.2435285,0.0,2.5960268411957e-08,2.05705873668182e-08,4.15015965700152e-07,0.000108223408460617,214549.733738997,4.88316556267965,12367389.4814494,21997495.2435285,2.18278728425503e-11,0.0,0.000108223408460617,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-260277966.634575,1883.41397954262,0.0,21997495.2435285,0.0,0.0,0.0,1553.0,0.0,1098.0,0.0,0.0,0.0,0.0,-260855138.498643,-260277966.634575,1037169.0318879485,0.003969035430124372,empeora,-27.098195374011993,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20f_estructurado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20f_estructurado_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso20f_estructurado.log
caso20f.txt,estructurado_pisolocal_1em1,ERROR,0,2.486080226,0.095311141415553,-261315135.66646332,,OPTIMAL,-261564198.10495862,1.0,11957.0,0.19,14400.0,10800.0,35590.0,11904.0,9163.0,31849.0,17.333333333333332,15.157407407407407,10.51137960101152,1,Model contains large bounds,1e-06,200000.0,0.005,2000.0,0.0005,700000.0,1.0,10000000000.0,0.30000000000000004,1.0,1.0,1.0,2692000000000.0,553600000000.0,0.0002368,1.0,0.057503728,2.543583954,1.0331670768857963,1.0331670768857963,1.0098098928328119,0.057503728,0.023130278499709205,2.300937218535637e-14,-3.5762786865234375e-07,-1.3685692860470673e-15,,,0.30000000000000004,0.20564635958395244,516236.0,,0.009108794927112055,4.0,,,,4.0,0.91024325,0.858389700103708,,,,,,,,OK,REVISAR,1.07521191239357e-06,0.0,3.2782554626464844e-07,780767220.717116,0.0,1.44082021656346e-08,1.86264514923096e-08,4.0252692997456e-07,2.7194619178772e-07,1298145.60468135,6.41204293321227,54741235.192721,780767220.717116,9.5367431640625e-07,0.0,1.07521191239357e-06,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-261315135.666463,1212.24447662869,0.0,780767220.717116,0.0,0.0,0.0,970.0,0.0,1032.0,0.0,0.0,0.0,0.0,-261852303.443741,-261315135.666463,-2.9802322387695312e-08,1.1404744050392227e-16,igual,-2.980232238769531e-07,N/D,,,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20f_estructurado_pisolocal_1em1.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/resultados/caso20f_estructurado_pisolocal_1em1_postprocesado.csv,results-revision/r7-local-floor-fullclass/simple-failing-sensitivity/logs/caso20f_estructurado_pisolocal_1em1.log
