instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
caso01a.txt,base,OK,0,1.064587575,0.053842876757106,-344334755.81869376,-355232000.0,OPTIMAL,-344520155.5569011,0.0,38.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,,,,,0.0,1.064587575,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1231.638964,0.000538,1782262002.318295,1231.638964,1.0,0.0,6241.554421,0.0,1.0,0.0,0.0,0.0,,BASE,BASE,,,,,,4.42519884354284e-09,1.13686837721616e-13,1.00582838058472e-07,5.58793544769287e-07,2724589.93318249,6.55883556725071,130753047.993373,737506225.726372,7.27595761418343e-12,0.0,1.79060734808445e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-344334755.818694,1200.26937797562,0.0,737506225.726372,0.0,0.0,0.0,215.0,0.0,958.0,0.0,0.0,0.0,0.0,-355232444.417192,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01a_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01a_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01a_base.log
caso01a.txt,estructurado,OK,0,1.09078273,0.053842876757106,-344334755.8186936,-357733000.0,OPTIMAL,-344520155.5569009,0.0,29.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,2341000000000.0,5345000000.0,0.0002863,1.0,0.078073543,1.1688562729999998,0.9759849929050491,0.9759849929050491,0.9107942521175999,0.078073543,0.07157570509023368,0.0,1.7881393432617188e-07,5.193026010430521e-16,-2501000.0,-0.00704046932708765,,0.002283212302434857,,,,,1172.0,0.0,1782262007.0,1172.0,1.0508864880546076,0.0,8897.0,0.0,1.0,0.0,0.0,0.0,1.4254461949519546,OK,REVISAR,1.85864173545269e-05,0.0,4.172325134277344e-07,428130656.851084,0.0,8.2916695725117e-09,4.65661287307739e-10,2.03046947717667e-07,1.85864173545269e-05,2350997.1939345,7.61748723311683,124174393.726746,428130656.851084,4.76837158203125e-07,0.0,1.85864173545269e-05,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-344334755.818694,1200.26937797562,0.0,428130656.851084,0.0,0.0,0.0,225.0,0.0,957.0,0.0,0.0,0.0,0.0,-357733074.776232,-344334755.818694,-2.384185791015625e-07,6.924034680574027e-16,igual,1.7881393432617188e-07,DIFIERE,148.0,399,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01a_estructurado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01a_estructurado_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01a_estructurado.log
caso01a.txt,estructurado_matricial,OK,0,1.10440587,0.053842876757123,-344334755.81869364,-357733000.0,OPTIMAL,-344520155.55690104,0.0,30.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,2341000000000.0,3666000000000.0,0.0002863,0.02149,0.080816749,1.185222619,0.9639459585632228,0.9639459585632228,0.8982173964062696,0.080816749,0.07317667462234695,-1.700029006457271e-14,1.1920928955078125e-07,3.4620173402870137e-16,-2501000.0,-0.00704046932708765,,1.565997436992738,,,,,1142.0,0.0,1782262012.0,1142.0,1.0784929632224167,0.0,29411.0,0.0,1.0,0.0,0.0,0.0,4.712127463159709,OK,REVISAR,9.0600224211812e-06,0.0,3.5762786865234375e-07,428130656.851085,0.0,5.38602325498884e-09,3.49245965480804e-10,1.41579657793045e-07,1.48245271702763e-06,2350910.29418109,7.61748723311671,124174393.726745,428130656.851085,4.76837158203125e-07,0.0,9.0600224211812e-06,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-344334755.818694,1200.26937797562,0.0,428130656.851085,0.0,0.0,0.0,225.0,0.0,956.0,0.0,0.0,0.0,0.0,-357732756.477143,-344334755.818694,-2.384185791015625e-07,6.924034680574027e-16,igual,5.960464477539063e-08,DIFIERE,148.0,405,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01a_estructurado_matricial.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01a_estructurado_matricial_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01a_estructurado_matricial.log
caso01b.txt,base,OK,0,1.070424064,0.049967890836459,-353071850.0003693,-352394000.0,OPTIMAL,-353248272.55695176,0.0,24.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,,,,,0.0,1.070424064,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1135.5579,0.0005,1782262016.597486,1135.5579,1.0,0.0,45891.136544,0.0,1.0,0.0,0.0,0.0,,BASE,BASE,,,,,,2.09435582822634e-07,1.86264514923096e-09,1.42155913636089e-07,0.000370658934116364,455859.775376099,2.30734767107029,26837144.3511576,39012383.6690136,3.63797880709171e-12,0.0,0.000370658934116364,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,-353071850.000369,1567.0441801533,0.0,39012383.6690136,0.0,0.0,0.0,886.0,0.0,984.0,0.0,0.0,0.0,0.0,-352393749.704651,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01b_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01b_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01b_base.log
caso01b.txt,estructurado,OK,0,1.053611325,0.049967890836493,-353071850.0003692,-352394000.0,OPTIMAL,-353248272.55695176,0.0,25.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,2341000000000.0,5345000000.0,0.0002863,1.0,0.077885009,1.1314963340000002,1.0159572497002154,1.0159572497002154,0.9460252161983583,0.077885009,0.07392195504352612,-3.400058012914542e-14,1.1920928955078125e-07,3.3763464731231493e-16,0.0,0.0,,0.002283212302434857,,,,,990.0,0.0,1782262021.0,990.0,1.1470281818181818,0.0,40701.0,0.0,1.0,0.0,0.0,0.0,0.8869032903766996,REVISAR,REVISAR,0.000343024730682373,0.0,1.7881393432617188e-07,39012383.6690124,0.0,3.39304293466391e-07,2.09547579288483e-09,2.01165676116943e-07,0.000343024730682373,455859.775376086,2.30734767107029,26837144.3511573,39012383.6690124,3.63797880709171e-12,0.0,0.000343024730682373,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,-353071850.000369,1567.0441801533,0.0,39012383.6690124,0.0,0.0,0.0,886.0,0.0,986.0,0.0,0.0,0.0,0.0,-352393749.704652,-353071850.000369,2.980232238769531e-07,8.440866182807873e-16,igual,0.0,DIFIERE,9.999999999732445e-07,3,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01b_estructurado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01b_estructurado_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01b_estructurado.log
caso01b.txt,estructurado_matricial,OK,0,1.093794394,0.049967890836476,-353071850.00036925,-352394000.0,OPTIMAL,-353248272.55695176,0.0,25.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,2341000000000.0,3666000000000.0,0.0002863,0.02149,0.081024267,1.174818661,0.9786337083749947,0.9786337083749947,0.9111398205820634,0.081024267,0.07407632315950598,-1.700029006457271e-14,5.960464477539063e-08,1.6881732365615747e-16,0.0,0.0,,1.565997436992738,,,,,1057.0,0.0,1782262026.0,1057.0,1.0743215704824975,0.0,31525.0,0.0,1.0,0.0,0.0,0.0,0.6869518249950972,REVISAR,REVISAR,0.000486532226204872,0.0,2.384185791015625e-07,39012383.6690124,0.0,3.65235975781273e-07,1.86264514923096e-09,1.91400308722223e-07,0.000486532226204872,455859.775376088,2.30734767107029,26837144.351157,39012383.6690124,3.63797880709171e-12,0.0,0.000486532226204872,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,-353071850.000369,1567.0441801533,0.0,39012383.6690124,0.0,0.0,0.0,886.0,0.0,985.0,0.0,0.0,0.0,0.0,-352393749.704652,-353071850.000369,2.980232238769531e-07,8.440866182807873e-16,igual,0.0,OK,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01b_estructurado_matricial.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01b_estructurado_matricial_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01b_estructurado_matricial.log
caso01c.txt,base,OK,0,0.995665954,0.050499612825298,-347925314.4323238,-349111000.0,OPTIMAL,-348101015.36903334,0.0,25.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,,,,,0.0,0.995665954,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1041.573931,0.000505,1782262030.699403,1041.573931,1.0,0.0,24607.636277,0.0,1.0,0.0,0.0,0.0,,BASE,BASE,,,,,,4.17997960231151e-09,5.82076609134674e-11,1.223583240062e-07,7.37607479095459e-07,1257513.89350361,3.15255725282012,63028576.4575104,349399392.396888,3.63797880709171e-12,0.0,1.43051147460938e-06,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-347925314.432324,1311.60342755934,0.0,349399392.396888,0.0,0.0,0.0,465.0,0.0,954.0,0.0,0.0,0.0,0.0,-349110685.454025,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01c_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01c_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01c_base.log
caso01c.txt,estructurado,OK,0,1.006230749,0.050499612825298,-347925314.4323237,-349964000.0,OPTIMAL,-348101015.3690332,0.0,25.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,2341000000000.0,5345000000.0,0.0002863,1.0,0.079127544,1.085358293,0.9895006239766581,0.9895006239766581,0.9173615389696939,0.079127544,0.07863757302053984,0.0,1.1920928955078125e-07,3.4262896261309287e-16,-853000.0,-0.002443348963510173,,0.002283212302434857,,,,,911.0,0.0,1782262037.0,911.0,1.143330330406147,0.0,23776.0,0.0,1.0,0.0,0.0,0.0,0.96620413811231,OK,REVISAR,1.41095370054245e-06,0.0,2.980232238769531e-07,105306117.07464,0.0,7.48213254081008e-09,3.49245965480804e-10,2.16066837310791e-07,4.58734575659037e-07,1222989.13294942,3.1882855108579,62505100.4470244,105306117.07464,3.63797880709171e-12,0.0,1.41095370054245e-06,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-347925314.432324,1311.60342755934,0.0,105306117.07464,0.0,0.0,0.0,468.0,0.0,953.0,0.0,0.0,0.0,0.0,-349964067.852341,-347925314.432324,-1.7881393432617188e-07,5.139434439196393e-16,igual,1.1920928955078125e-07,DIFIERE,400.0004,359,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01c_estructurado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01c_estructurado_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01c_estructurado.log
caso01c.txt,estructurado_matricial,OK,0,1.031930911,0.050499612825281,-347925314.43232375,-349705000.0,OPTIMAL,-348101015.3690332,0.0,25.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,2341000000000.0,3666000000000.0,0.0002863,0.02149,0.081014292,1.112945203,0.9648571850950205,0.9648571850950205,0.8946226205172835,0.081014292,0.07850747674715212,1.700029006457271e-14,5.960464477539063e-08,1.7131448130654644e-16,-594000.0,-0.001701464577168866,,1.565997436992738,,,,,977.0,0.0,1782262043.0,977.0,1.0660940951893552,0.0,29453.0,0.0,1.0,0.0,0.0,0.0,1.1969048822266937,OK,REVISAR,1.9073486328125e-06,0.0,2.384185791015625e-07,142468752.440879,0.0,5.57039829836008e-09,1.74622982740402e-10,1.62522774189711e-07,4.74974513053894e-07,1223917.72121757,3.13394709036935,62809830.4426149,142468752.440879,3.63797880709171e-12,0.0,1.9073486328125e-06,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-347925314.432324,1311.60342755934,0.0,142468752.440879,0.0,0.0,0.0,453.0,0.0,955.0,0.0,0.0,0.0,0.0,-349705181.054432,-347925314.432324,-1.7881393432617188e-07,5.139434439196393e-16,igual,1.1920928955078125e-07,DIFIERE,400.0004,368,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01c_estructurado_matricial.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01c_estructurado_matricial_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01c_estructurado_matricial.log
caso01d.txt,base,OK,0,1.054160142,0.595490223870112,-272127631.5940204,-273531000.0,OPTIMAL,-273748125.0366121,0.0,131.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,,,,,0.0,1.054160142,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1245.850817,0.005955,1782262048.584448,1245.850817,1.0,0.0,6878.18977,0.0,1.0,0.0,0.0,0.0,,BASE,BASE,,,,,,3.97997369561519e-08,3.63797880709171e-12,8.00937414169312e-08,0.000188326463103294,782168.147566714,6.5016908624223,37516580.9785504,782091349.799648,3.63797880709171e-12,0.0,0.000188326463103294,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-272127631.594021,933.671977406677,0.0,782091349.799648,0.0,0.0,0.0,373.0,0.0,1045.0,0.0,0.0,0.0,0.0,-273531426.201287,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01d_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01d_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01d_base.log
caso01d.txt,estructurado,OK,0,27.211664301,0.87831924689353,-270904530.963025,-270301000.0,OPTIMAL,-273283937.59917986,17562.0,454421.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,2341000000000.0,5345000000.0,0.0002863,1.0,0.078044058,27.289708359,0.03873927483227333,0.03873927483227333,0.038628486905480014,0.078044058,0.002868036924780524,-0.28282902302341806,1223100.6309954524,0.004494584485342385,3230000.0,0.011808533584858755,,0.002283212302434857,,,,,29478.0,15.0,1782262059.0,29478.0,0.042263749813420175,9.559154e-09,2694253948593.0,0.0,1.0,0.0,0.0,0.0,391709743.2153286,OK,REVISAR,5.13345003128052e-06,4.74231764968636e-13,0.0,814158323.268521,4.74231764968636e-13,1.03502108853204e-08,4.71482053399001e-10,2.36555933952332e-07,5.13345003128052e-06,1107359.26510317,5.6520787850831,44899802.6969251,814158323.268521,9.5367431640625e-07,0.0,5.13345003128052e-06,0.0,0.0,4.74231764968636e-13,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-270904530.963025,605.480582809159,0.0,814158323.268521,0.0,0.0,4.74231764968636e-13,227.0,0.0,1045.0,0.0,0.0,0.0,0.0,-270301173.417383,-270904530.963025,1223100.6309954524,0.004494584485342385,empeora,464187.4374322295,DIFIERE,46940000.0,5256,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01d_estructurado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01d_estructurado_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01d_estructurado.log
caso01d.txt,estructurado_matricial,OK,0,1.010337564,0.595490223870024,-272127631.5940207,-273860000.0,OPTIMAL,-273748125.03661215,0.0,32.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,2341000000000.0,3666000000000.0,0.0002863,0.02149,0.081173332,1.0915108960000002,1.0433741944885262,1.0433741944885262,0.9657806860775486,0.081173332,0.08034278333533286,8.79296635503124e-14,-2.980232238769531e-07,-1.0951597312306955e-15,-329000.0,-0.001202788714990257,,1.565997436992738,,,,,1126.0,0.0,1782262089.0,1126.0,1.106439446714032,0.0,5816.0,0.0,1.0,0.0,0.0,0.0,0.8455713195595649,REVISAR,REVISAR,0.000141263008117676,0.0,2.980232238769531e-07,753862696.078755,0.0,4.29658289456169e-08,1.16415321826935e-10,1.21071934700012e-07,0.000141263008117676,814822.919471658,6.60340272795068,37420731.1191998,753862696.078755,4.76837158203125e-07,0.0,0.000141263008117676,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-272127631.594021,933.671977406677,0.0,753862696.078755,0.0,0.0,0.0,376.0,0.0,1045.0,0.0,0.0,0.0,0.0,-273859928.173781,-272127631.594021,-5.960464477539062e-07,2.190319462461391e-15,igual,-5.960464477539063e-08,DIFIERE,147.87,125,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01d_estructurado_matricial.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01d_estructurado_matricial_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01d_estructurado_matricial.log
caso01e.txt,base,OK,0,15.380145739,0.786159876716457,-281747902.2600479,-281538000.0,OPTIMAL,-283962891.2211067,6876.0,163176.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,,,,,0.0,15.380145739,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,16612.0131,1.074115,1782262100.346108,16612.0131,1.0,6.402631e-09,2033934714.718644,9.2e-05,0.990836,0.009164,0.0,0.0,,BASE,BASE,,,,,,2.92197650333526e-08,5.82076609134674e-11,8.00937414169312e-08,0.00038672611117363,551869.91197771,5.14952452362446,22562579.0465642,241407222.634721,7.9129222285701e-08,0.0,0.00038672611117363,2.0000072709081e-09,4.30238742410438e-08,1.28825735686584e-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-281747902.260048,475.319689767646,0.0,241407222.634721,2.0000072709081e-09,1.44077603181358e-08,1.28825735686584e-09,268.0,0.0,1043.0,0.0,0.0,0.0,0.0,-281537830.112942,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01e_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01e_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01e_base.log
caso01e.txt,estructurado,OK,0,0.932378708,0.528858466566108,-282912852.4123112,-283244000.0,OPTIMAL,-284409060.9852974,0.0,23.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,2341000000000.0,5345000000.0,0.0002863,1.0,0.078004997,1.010383705,16.495599488743366,16.495599488743366,15.22208410813593,0.078004997,0.08366235343074781,0.257301410150349,-1164950.1522632837,-0.00413472520263188,-1706000.0,-0.006059572775255916,,0.002283212302434857,,,,,903.0,0.0,1782262117.0,903.0,18.396470764119602,0.0,11672.0,0.0,1.0,0.0,0.0,0.0,5.738630603792314e-06,REVISAR,REVISAR,0.00018458254635334,0.0,1.7881393432617188e-07,69698030.3234998,0.0,6.94570708145444e-08,4.65439597974182e-10,1.2294389307499e-07,0.00018458254635334,571558.182601969,2.43036885390795,23065078.6666541,69698030.3234998,3.63797880709171e-12,0.0,0.00018458254635334,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-282912852.412311,568.989046724306,0.0,69698030.3234998,0.0,0.0,0.0,840.0,0.0,1049.0,0.0,0.0,0.0,0.0,-283244180.922909,-282912852.412311,-1164950.152263105,0.004134725202631246,mejora,-446169.7641906738,DIFIERE,424325000.0,6129,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01e_estructurado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01e_estructurado_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01e_estructurado.log
caso01e.txt,estructurado_matricial,OK,0,0.979619812,0.528858466566066,-282912852.4123113,-283244000.0,OPTIMAL,-284409060.9852974,0.0,23.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,2341000000000.0,3666000000000.0,0.0002863,0.02149,0.081598409,1.061218221,15.700117076644014,15.700117076644014,14.492915250274429,0.081598409,0.08329599708014071,0.257301410150391,-1164950.152263403,-0.004134725202632303,-1706000.0,-0.006059572775255916,,1.565997436992738,,,,,1015.0,0.0,1782262121.0,1015.0,16.366515369458128,0.0,6928.0,0.0,1.0,0.0,0.0,0.0,3.4062056908047594e-06,REVISAR,REVISAR,0.000184500589966774,0.0,2.980232238769531e-07,69698030.3234984,0.0,7.32658364803385e-08,1.74622982740402e-10,1.22003257274628e-07,0.000184500589966774,571558.184532905,2.43195454442564,23065078.6666529,69698030.3234984,3.63797880709171e-12,0.0,0.000184500589966774,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,-282912852.412311,568.989046724306,0.0,69698030.3234984,0.0,0.0,0.0,841.0,0.0,1045.0,0.0,0.0,0.0,0.0,-283244180.922909,-282912852.412311,-1164950.152263105,0.004134725202631246,mejora,-446169.7641906738,DIFIERE,424325000.0,6130,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01e_estructurado_matricial.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01e_estructurado_matricial_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01e_estructurado_matricial.log
caso01f.txt,base,OK,0,1.031311734,0.573414415348452,-276939497.81053674,-278130000.0,OPTIMAL,-278527508.81277597,0.0,25.0,,14400.0,10800.0,35590.0,,,,,,,0,,,,,,,,,,,,,,,,,,0.0,1.031311734,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1153.912501,0.005734,1782262126.270944,1153.912501,1.0,0.0,6302475.61472,0.0,1.0,0.0,0.0,0.0,,BASE,BASE,,,,,,2.23309876822789e-08,5.82076609134674e-11,8.00937414169312e-08,9.65874642133713e-05,233100.497674713,3.25250630385079,9794208.89395559,244783177.901696,3.63797880709171e-12,0.0,9.65874642133713e-05,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-276939497.810537,523.200303993632,0.0,244783177.901696,0.0,0.0,0.0,779.0,0.0,1043.0,0.0,0.0,0.0,0.0,-278129701.319649,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01f_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/resultados/caso01f_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-cplex-presolve/off/logs/caso01f_base.log
